LncRNA ID	Logfold	URWScore	pvalue	FDR	Rank(Logfold)	Rank(URWScore)
ENSG00000258294	11.9233869523431	0.615425989268745	0	0	1	1
ENSG00000184324	8.20411223530748	0.606154632906366	0	0	88	2
ENSG00000259756	11.9233869523431	0.597015104321658	0	0	1	3
ENSG00000261319	11.9233869523431	0.593324312722612	0	0	1	4
ENSG00000229876	11.9233869523431	0.590463777749219	0	0	1	5
ENSG00000250735	11.9233869523431	0.577663659051891	0	0	1	6
ENSG00000250252	11.9233869523431	0.567272037813711	0	0	1	7
ENSG00000250708	11.9233869523431	0.564603831355988	0	0	1	8
ENSG00000248268	11.9233869523431	0.564269954702279	0	0	1	9
ENSG00000248370	11.9233869523431	0.562804034700106	0	0	1	10
ENSG00000223812	11.9233869523431	0.556142667445267	0	0	1	11
ENSG00000250920	11.9233869523431	0.553914404449489	0	0	1	12
ENSG00000251577	11.9233869523431	0.553914404449489	0	0	1	12
ENSG00000257114	11.9233869523431	0.54561861982923	0.00032520325203252	0.00909090909090909	1	14
ENSG00000236289	-11.640204417123	0.542755873691098	0.00032520325203252	0.00909090909090909	78	15
ENSG00000254519	11.9233869523431	0.542734828294556	0.00032520325203252	0.00909090909090909	1	16
ENSG00000197463	8.05177411573855	0.542361568219555	0.00032520325203252	0.00909090909090909	89	17
ENSG00000251185	11.9233869523431	0.541249601235553	0.00032520325203252	0.00909090909090909	1	18
ENSG00000255426	11.9233869523431	0.535984953601148	0.00032520325203252	0.00909090909090909	1	19
ENSG00000235523	11.9233869523431	0.534726023863218	0.00032520325203252	0.00909090909090909	1	20
ENSG00000230316	6.42180685905796	0.533408635634102	0.00032520325203252	0.00909090909090909	127	21
ENSG00000233085	5.77040387906624	0.532810445472466	0.00032520325203252	0.00909090909090909	153	22
ENSG00000253659	11.9233869523431	0.531564633107187	0.000650406504065041	0.0166666666666667	1	23
ENSG00000228952	5.45912179341295	0.528247287471113	0.000650406504065041	0.0166666666666667	168	24
ENSG00000259631	11.9233869523431	0.52726802966893	0.000975609756097561	0.0222222222222222	1	25
ENSG00000228295	11.9233869523431	0.526646553142618	0.000975609756097561	0.0222222222222222	1	26
ENSG00000215115	8.90083340180554	0.526407413391618	0.000975609756097561	0.0222222222222222	85	27
ENSG00000183242	11.9233869523431	0.523871125125957	0.0016260162601626	0.0294117647058824	1	28
ENSG00000246350	11.9233869523431	0.523607781516388	0.0016260162601626	0.0294117647058824	1	29
ENSG00000261807	11.9233869523431	0.521221508501326	0.0016260162601626	0.0294117647058824	1	30
ENSG00000231764	4.88911573172347	0.52092643037288	0.0016260162601626	0.0294117647058824	199	31
ENSG00000243321	11.9233869523431	0.516920515583135	0.0016260162601626	0.0294117647058824	1	32
ENSG00000263677	-11.640204417123	0.515686181649442	0.0016260162601626	0.0294117647058824	78	33
ENSG00000250564	11.9233869523431	0.514711239380802	0.0016260162601626	0.0294117647058824	1	34
ENSG00000228630	7.75701269613671	0.51419041231189	0.00195121951219512	0.0333333333333333	93	35
ENSG00000215113	9.33658678204883	0.514149435769368	0.00195121951219512	0.0333333333333333	84	36
ENSG00000235086	11.9233869523431	0.512229819894118	0.00260162601626016	0.04	1	37
ENSG00000225107	11.9233869523431	0.512101129751101	0.00260162601626016	0.04	1	38
ENSG00000233338	11.9233869523431	0.511993990485199	0.00260162601626016	0.04	1	39
ENSG00000259811	4.43314555293201	0.511793592018854	0.00260162601626016	0.04	239	40
ENSG00000233850	-6.00774005706559	0.509437507929367	0.00292682926829268	0.0418604651162791	143	41
ENSG00000256513	-11.640204417123	0.509185801820131	0.00292682926829268	0.0418604651162791	78	42
ENSG00000233532	6.30884973563266	0.503077483548707	0.00292682926829268	0.0418604651162791	130	43
ENSG00000233358	11.9233869523431	0.498816388906069	0.0032520325203252	0.0428571428571429	1	44
ENSG00000225226	11.9233869523431	0.496587697343069	0.0032520325203252	0.0428571428571429	1	45
ENSG00000259410	11.9233869523431	0.495422899184474	0.00357723577235772	0.0428571428571429	1	46
ENSG00000204460	6.55528390984676	0.4951899815922	0.00357723577235772	0.0428571428571429	121	47
ENSG00000263655	11.9233869523431	0.494120329031638	0.00357723577235772	0.0428571428571429	1	48
ENSG00000235578	11.9233869523431	0.493556848597177	0.00357723577235772	0.0428571428571429	1	49
ENSG00000205634	7.40756931321262	0.492502966422948	0.00357723577235772	0.0428571428571429	98	50
ENSG00000258763	11.9233869523431	0.492501251516618	0.00357723577235772	0.0428571428571429	1	51
ENSG00000266869	11.9233869523431	0.490917075074842	0.00390243902439024	0.0428571428571429	1	52
ENSG00000229618	6.56169286710293	0.490681911373831	0.00390243902439024	0.0428571428571429	119	53
ENSG00000244791	11.9233869523431	0.490310606615672	0.00390243902439024	0.0428571428571429	1	54
